RegistrationNumber,AircraftCategory,Make,Model,AmateurBuilt,NumberofEngines,EngineType,takeoff_max_weight,AirportCode
 N979AS , Helicopter , Piper , PA-28-180 , No ,1, Reciprocating ,3600,PTVSX
 N67195 , Helicopter , Piper , PA-44-180 , No ,2, Reciprocating ,2149,PTNRR
 N711HG , Helicopter , Cessna ,140, No ,1, Reciprocating ,2689,PTOUP
 N6085M , Helicopter , Martin , RANS S-7 COURIER , Yes ,1, Reciprocating ,3048,PPPTD
 N444DA , Helicopter , Cessna ,206, No ,  ,  ,2949,PTEKA
 N530MD , Helicopter , Cessna , R172K , No ,  ,  ,2949,PPVQG
 N131AK , Helicopter , Cessna ,172, No ,1, Reciprocating ,2949,PPXMJ
 N40FJ , Helicopter , Cessna , 208B , No ,1, Turbo Prop ,3600,PTMZN
 N5695V , Helicopter , Claypool , RV-6A , Yes ,1, Reciprocating ,1294,PTRST
 N3953R , Helicopter , Cessna , 402C , No ,2, Reciprocating ,2899,PTYHA
 N94CV , Helicopter , Cessna , 170B , No ,1, Reciprocating ,1369,PTIXJ
 N753FE , Helicopter , Piper , PA-38-112 , No ,1, Reciprocating ,8999,PPFIZ
 N320WH , Helicopter , Cessna ,150, No ,  ,  ,3300,PTUKN
 N7744D , Helicopter , Cessna , A188B , No ,  ,  ,3048,PTHZO
 N7657R , Helicopter , Piper , PA32-301 , No ,1, Reciprocating ,5000,PTYSY
 N9071H , Helicopter ," Waterwings, Inc ", SeaRey , Yes ,1, Reciprocating ,2899,PTOYF
 N8304S , Helicopter , Piper , PA-28-180 , No ,1, Reciprocating ,2649,PRGLM
 N96924 , Helicopter , Piper , PA-22 , No ,1, Reciprocating ,6999,PTJUF
 N723PG , Helicopter , Cessna , 180G , No ,1, Reciprocating ,2649,PPGYH
 N7592B , Helicopter , Piper , PA-20 , No ,1, Reciprocating ,3000,PRJMS
 N5942S , Helicopter , Mooney , M-10 , No ,1, Reciprocating ,2749,PTUCH
 N3084N , Helicopter , Cooper , Harmon Rocket ll , Yes ,1, Reciprocating ,2899,PTOXF
 N738AH , Helicopter , American Champion , 7GCBC , No ,1, Reciprocating ,2949,PROEA
 N3615T , Helicopter , Cessna , 180F , No ,1, Reciprocating ,3800,PTUFM
 N350ET , Helicopter , Piper , 38-112 , No ,1, Reciprocating ,2500,PTUKG
 N115BT , Helicopter , Cessna , 172S , No ,1, Reciprocating ,1668,PRJCR
 N4680Z , Helicopter , Cessna , 208B , No ,  ,  ,3600,PRMMS
 N761WY , Helicopter , Cessna , 340A , No ,2, Reciprocating ,4570,PTGYW
 N7631R , Helicopter , Robinson , R-22B , No ,1, Reciprocating ,3600,PTDOJ
 N7383A , Helicopter , Boeing , 737-300 , No ,  ,  ,4750,PTGNO
 N9318W , Helicopter , Airbus Industrie , 320-200 , No ,  ,  ,4750,PRABI
 N924ME , Helicopter , Gates Learjet ,35, No ,2, Turbo Fan ,2949,PPSEC
 N8723S , Helicopter ," MD Helicopters, Inc. ", MD 900 , No ,2, Turbo Shaft ,4750,PTNIG
 N9292U , Helicopter , Cessna , 172G , No ,1, Reciprocating ,3968,PRXYZ
 N303GV , Helicopter , Kearsley , Exec 162F , Yes ,1, Reciprocating ,3968,PTKBA
 N3199H , Helicopter , Mooney , M-20K , No ,  ,  ,3968,PTLRG
 VT-AIM , Helicopter , McDonnell Douglas , DC-9-82 , No ,2, Turbo Fan ,3968,PPEIO
 N2969 , Helicopter , MD Helicopter , MD 600 , No ,  ,  ,3968,PTVCH
 N44EK , Helicopter , Cessna , 172RG , No ,1, Reciprocating ,3968,PTUHI
 N22L , Helicopter , Weatherly , 201B , No ,1, Turbo Prop ,3968,PTWKZ
 N86AB , Helicopter , Piper , PA-18 , No ,1, Reciprocating ,3968,PRGLJ
 N177LH , Helicopter , Extra Flugzeugbau , 300S , No ,1, Reciprocating ,3968,PTYBJ
 N5031Z , Helicopter , Beech , C23 , No ,1, Reciprocating ,3968,PPHPA
 N41805 , Helicopter , Airbus Industrie ,319, No ,  ,  ,3968,PRLHN
 N51434 , Helicopter , Embraer , 145EP , No ,  ,  ,3968,PTDLK
 N4350F , Helicopter , Piper , PA34-200T , No ,2, Reciprocating ,3968,PTULD
 N78SV , Helicopter , Piper , PA-23-250 , No ,2, Reciprocating ,3968,PTVLC
 N542SP , Helicopter , Piper , PA23-250 , No ,2, Reciprocating ,3968,PTHZC
 N319UP , Helicopter , Aero Commander , AC50 , No ,2, Reciprocating ,3968,PTYDO
 N32404 , Helicopter , Piper , PA-28-180 , No ,  ,  ,3968,PPFII
 N62497 , Helicopter , Urban Air , UFM-10 , No ,1, Reciprocating ,3968,PTYUL
 N213FE , Helicopter , Beech , F33A , No ,1, Reciprocating ,1600,PRBRK
 N8040G , Helicopter ," Bombardier, Inc. ", CL-600-2B19 , No ,2, Turbo Fan ,3968,PTWBZ
 N302H , Helicopter , Champion , 7EC , No ,1, Reciprocating ,4750,PTVPK
 N1WZ , Helicopter , Cirrus , SR20 , No ,1, Reciprocating ,3600,PTLQH
 N3194K , Helicopter , Piper , PA28-180F , No ,1, Reciprocating ,4750,PTGZV
 N348SP , Helicopter , Beech , C99 , No ,2, Turbo Prop ,3968,PPMJQ
 N290DM , Helicopter , Schleicher , ASW-19B , No ,0,  ,3968,PTJOH
 N454SF , Helicopter , Cessna , 182G , No ,1, Reciprocating ,3968,PRMBK
 N47186 , Helicopter , Kaman , K-1200 , No ,1, Turbo Shaft ,3968,PPDTT
 N1257Z , Helicopter , Beech , 56TC , No ,2, Reciprocating ,3968,PTAZJ
 N56825 , Helicopter , Loehle , P5151 , No ,1, Reciprocating ,3968,PTREX
 N8547X , Helicopter , Cessna ,152, No ,1, Reciprocating ,3968,PPGNJ
 N3590R , Helicopter , Cessna , 182D , No ,1, Reciprocating ,3968,PTEFS
 N65696 , Helicopter , Cessna ,172, No ,1, Reciprocating ,4202,PRMJH
 N7187T , Helicopter , Cessna ,182, No ,1, Reciprocating ,4199,PTRGV
 N621PH , Helicopter , Stinson , 108-1 , No ,1, Reciprocating ,2500,PTUNQ
 N900EH , Helicopter , Enstrom , 280F , No ,1, Reciprocating ,5399,PTBRP
 N2697X , Helicopter , Piper , PA-28-140 , No ,1, Reciprocating ,3399,PTDRM
 N99009 , Helicopter , Boeing , 757-222 , No ,2, Turbo Fan ,23000,PTKMV
 N1053X , Helicopter , Bell , 206L-1 , No ,1, Turbo Shaft ,4750,PTETZ
 N4403K , Helicopter , Beech , A36 , No ,1, Reciprocating ,4199,PTWID
 N3039B , Helicopter , Saab-Scania AB (Saab) , 340B , No ,2, Turbo Prop ,3836,PTLYY
 N535BM , Helicopter , E Newton , Newton RV-6A , Yes ,1, Reciprocating ,5500,PRGTD
 N790RA , Helicopter , Kaman , K-1200 , No ,1, Turbo Shaft ,2398,PTBJA
 N302BY , Helicopter , Sessi Midget Mustang , SK-1 , Yes ,1, Reciprocating ,3198,PTNGF
 N2584S , Helicopter , Piper , PA-32RT-300T , No ,1, Reciprocating ,4629,PTFLY
 N2196B , Helicopter , Robinson , R44 , No ,1, Reciprocating ,3198,PTOOH
 N997BW , Helicopter , Eakle R Grandin Jr , Talon XP , Yes ,1, Reciprocating ,2698,PTYAZ
 N471WN , Helicopter , Piper , PA-34-200T , No ,1, Reciprocating ,0,PREBQ
 N49815 , Helicopter , Cessna ,140, No ,1, Reciprocating ,2425,PRRFF
 N251BP , Helicopter , Rockwell , Sabreliner , No ,  ,  ,0,PTYBY
 N8403F , Helicopter , Cirrus , SR22 , No ,1, Reciprocating ,2645,PPGRN
 N1689F , Helicopter , Cessna ,210, No ,1, Reciprocating ,1102,PTPMF
 N123F , Helicopter , Cessna , 414A , No ,2, Reciprocating ,1587,PTWIX
 N4601M , Helicopter , Boeing , D75N1 , No ,1, Reciprocating ,1058,PRTTE
 N543MD , Helicopter , Cessna , 172N , No ,1, Reciprocating ,1587,PROAF
 N40CP , Helicopter , Piper , PA-28-180 , No ,1, Reciprocating ,1587,PTIFE
 N6004X , Helicopter , Ercoupe (Eng & Research Corp.) , E , No ,1, Reciprocating ,1212,PTKBV
 N64PW , Helicopter , Cessna , 421C , No ,  ,  ,1078,PRAAH
 N7315Y , Helicopter , Beech , C24R , No ,  ,  ,1322,PTRDF
 N46555 , Helicopter , Mooney , M-20K , No ,  ,  ,0,PTDGK
 N1876Z , Helicopter , Beech , J35 , No ,1, Reciprocating ,1499,PTHMM
 N4334Z , Helicopter , Cessna , C-37 , No ,1, Reciprocating ,0,PTGPB
 N701QR , Helicopter , Cessna ,185, No ,1, Reciprocating ,1322,PRFNC
 N2455T , Helicopter , Cessna , 172S , No ,1, Reciprocating ,1322,PTYFR
 N359FE , Helicopter , Champion , 7GCB , No ,1, Reciprocating ,1388,PTOVC
 N299UX , Helicopter , Piper , PA-18 , No ,1, Reciprocating ,936,PTUAW
 N761FL , Helicopter , LET , L13 AC Blanik , No ,0,  ,925,PTRCV
 N691TA , Helicopter , Piper , PA-24 , No ,1, Reciprocating ,1124,PTUPY
 N360JR , Helicopter , Cessna , 208B , No ,  ,  ,1653,PTYMF
 N5596F , Helicopter , Joel H Johnson , Rans S-6ES Coyote II , Yes ,1, Reciprocating ,1212,PTYOU
 N6485R , Helicopter , Aviat , Pitts S-2B , No ,1, Reciprocating ,1433,PTBEX
 N3936D , Helicopter , Airbus Industrie , A320 ,  ,  ,  ,0,PTDNR
 N6858P , Helicopter , Boeing , MD-82 , No ,  ,  ,0,PPMTR
 N7692B , Helicopter , American Champion , 8KCAB , No ,  ,  ,1433,PRMBB
 N1528D , Helicopter , Cessna , 182N , No ,1, Reciprocating ,1100,PTIKJ
 N4506B , Helicopter , Piper , PA-32R-300 , No ,1, Reciprocating ,0,PROGM
 N52DB , Helicopter , Cessna ,180, No ,1, Reciprocating ,1318,PTWEH
 N8091H , Helicopter , Bell , 206B , No ,1, Turbo Shaft ,1278,PTHSY
 N26708 , Helicopter , Piper , PA-24 , No ,1, Reciprocating ,1190,PRACR
 N666DE , Helicopter , Piper , PA-18 , No ,1, Reciprocating ,1322,PRFBA
 N859DA , Helicopter , Cessna , 182C , No ,1, Reciprocating ,919,PTYGB
 N2564X , Helicopter , Piper , PA-18A , No ,1, Reciprocating ,925,PTHTJ
 N3619R , Helicopter , Balkema , STOL Aircraft , Yes ,1, Reciprocating ,1433,PTVIT
 N26399 , Helicopter , PZL-Swidnik , PW-5 , No ,0,  ,1653,PTARR
 N108EE , Helicopter , Grumman-Schweizer , G-164B , No ,1, Reciprocating ,1058,PTYZI
 N15145 , Helicopter , Beech , V35B , No ,1, Reciprocating ,1322,PTMVL
 N225GV , Helicopter , Dassault Aviation , Falcon 900EX , No ,3, Turbo Fan ,919,PTGVQ
 N70MT , Helicopter , Mooney , M20J , No ,1, Reciprocating ,1124,PRFFG
 N3425R , Helicopter , Douglas , DC-3 , No ,2, Reciprocating ,1322,PRNHC
 N7466P , Helicopter , Piper , PA-32RT-300T , No ,1, Reciprocating ,1146,PPMUM
 N264BH , Helicopter , Beech , G35 , No ,1, Reciprocating ,1653,PPMJV
 N130HS , Helicopter , Boeing , 717-200 , No ,  ,  ,1433,PTJAY
 N91399 , Helicopter , Irwin , Sonex 2180 , Yes ,1, Reciprocating ,1653,PTUKA
 N734MA , Helicopter , Aero Vodochody , L39 , No ,1, Turbo Jet ,1322,PTURR
 N4562F , Helicopter , Cessna , 180H , No ,1, Reciprocating ,1322,PRIAO
 N546BC , Helicopter , Boeing , 757-232 , No ,2, Turbo Fan ,1212,PTWNU
 N660T , Helicopter , Schweizer , 269C-1 , No ,1, Reciprocating ,992,PTYOG
 N400PD , Helicopter , Beech , 95-55 , No ,2, Reciprocating ,925,PTVHK
 N9928H , Helicopter , Piper , PA-28RT-201T , No ,1, Reciprocating ,925,PTUPC
 N57N , Helicopter , Cessna , 172P , No ,1, Reciprocating ,679,PTULH
 N5182Z , Helicopter , Champion , 7ECA , No ,1, Reciprocating ,458,PTGIO
 N6122A , Helicopter , CESSNA , 150G , No ,1, Reciprocating ,925,PTDID
 N2863X , Helicopter , Bell , 206B3 , No ,1, Turbo Shaft ,1653,PTKOZ
 N389VV , Helicopter , Mooney , M20C , No ,1, Reciprocating ,1212,PTHNH
 N821KF , Helicopter , Cessna , 182D , No ,1, Reciprocating ,1102,PTHEO
 N6029N , Helicopter , Cessna , 182E , No ,1, Reciprocating ,1040,PRWJA
 N1153C , Helicopter , Cessna , 150L , No ,1, Reciprocating ,1212,PTUSM
 N5094C , Helicopter , Cessna , 172L , No ,1, Reciprocating ,1146,PTGIE
 N56038 , Helicopter , Robinson , R22 , No ,1, Reciprocating ,1433,PTUUC
 N2870Q , Helicopter , Cessna , 172R , No ,1, Reciprocating ,1102,PRIPO
 N7453J , Helicopter , Robinson , R22 , No ,1, Reciprocating ,5500,PTVNU
 N117SA , Helicopter , Beech , 58P , No ,2, Reciprocating ,3300,PRMHK
 N81868 , Helicopter , Cessna , 182P , No ,1, Reciprocating ,3990,PPPTJ
 N321JN , Helicopter , WHEELER , Pitts Special , Yes ,1, Reciprocating ,8575,PTAQO
 N1186X , Helicopter , Lancair Company , LC41-550FG , No ,1, Reciprocating ,1322,PTIFX
 N7900D , Helicopter , Robinson , R44 , No ,  ,  ,411999,PPFJS
 N23899 , Helicopter , Piper , PA-28-235 , No ,1, Reciprocating ,0,PTYON
 N2241P , Helicopter , Beech , V35 , No ,1, Reciprocating ,0,PTJGX
 N14GK , Helicopter , Swearingen , SA226TC , No ,2, Turbo Prop ,42328,PTEBY
 N2969M , Helicopter , Cessna ,172, No ,1, Reciprocating ,5000,PTMEE
 N5715B , Helicopter , Piper , PA-28-140 , No ,1, Reciprocating ,0,PRGRV
 N100KR , Helicopter , Piper , PA-28-161 , No ,1, Reciprocating ,149473,PTHVW
 N43CW , Helicopter , Bell , 222B , No ,2, Turbo Shaft ,571999,PROAM
 N1813W , Helicopter , Cessna , 421C , No ,2, Reciprocating ,3800,PRLCE
 N16356 , Helicopter , Cessna , 150L , No ,1, Reciprocating ,522494,PTNMN
 N5075P , Helicopter , Champion , 7FC , No ,1, Reciprocating ,3600,PTUJR
 N5437J , Helicopter , Bell , 206B , No ,1, Turbo Shaft ,3600,PTERV
 N4171T , Helicopter , Piper , PA-30 , No ,2, Reciprocating ,522494,PTKIL
 N9204Q , Helicopter , Spane , RV-4 , Yes ,1, Reciprocating ,507062,PPVQY
 N4319P , Helicopter , Cessna ,177, No ,1, Reciprocating ,411999,PTTAW
 N1548Y , Helicopter , Cessna , 172M , No ,1, Reciprocating ,350005,PTNNF
 N8903S , Helicopter , Beech ,95, No ,2, Reciprocating ,630499,N525ZS
 N27177 , Helicopter , Mooney , M20F , No ,1, Reciprocating ,3139,PTJAV
 N30NM , Helicopter , Hodge , Express , Yes ,1, Reciprocating ,3298,PTRBW
 N7684G , Helicopter , Piper , PA-28-140 , No ,1, Reciprocating ,3800,PTGXV
 N7801Q , Helicopter , Cessna , 525A , No ,2, Turbo Fan ,3600,PTNOU
 N258HB , Helicopter , Cessna ,150, No ,1, Reciprocating ,6849,PPGEJ
 N2111P , Helicopter , Cessna ,501, No ,  ,  ,551,PTPAC
 N3873X , Helicopter , Beech , C90A , No ,2, Turbo Prop ,3800,PTIBX
 N3015E , Helicopter , Robinson , R22 , No ,1, Reciprocating ,3600,PTOYW
 N5784B , Helicopter , Schweizer , 269C-1 , No ,1, Reciprocating ,0,PTWJQ
 N4171Z , Helicopter , Cessna ,152, No ,1, Reciprocating ,2550,PTOOB
 N4652J , Helicopter , Cessna , 172M , No ,1, Reciprocating ,3968,PRMAN
 N2884E , Helicopter , Kenetic Aviation , Mountain Goat , Yes ,1, Reciprocating ,3849,PROAL
 N2593P , Helicopter , Piper , PA-24-260 , No ,1, Reciprocating ,3099,PROAJ
 N781AN , Helicopter , Boeing ,737, No ,  ,  ,17967,PTYLO
 N653US , Helicopter , Cessna , 172P , No ,  ,  ,1322,PTDON
 N1020Q , Helicopter , Carpenter BJ/Carpenter SA , Glasair II-S FT , Yes ,1, Reciprocating ,1752,PPKCA
 N5436X , Helicopter , Cessna , 210M , No ,1, Reciprocating ,0,PRMHV
 N331TA , Helicopter , Globe Swift , GC-1A , No ,1, Reciprocating ,992,PTYBB
 N7467T , Helicopter , Beech , C23 , No ,1, Reciprocating ,881,PTUDJ
 N6384E , Helicopter , SIAI-Marchetti , S.205/22R , No ,1, Reciprocating ,0,PREJB
 N3540U , Helicopter , Cessna , 172N , No ,1, Reciprocating ,3849,PTURN
 N704VR , Helicopter , Ercoupe , 415-C , No ,1, Reciprocating ,6613,PRTOS
 N5144L , Helicopter , Cessna , 180J , No ,1, Reciprocating ,0,PPMSD
 N505K , Helicopter , Cessna , 172N , No ,1, Reciprocating ,1455,PTOMX
 N771X , Helicopter , Cessna , 172P , No ,1, Reciprocating ,1455,PTPMC
 N515AB , Helicopter , Cessna ,501, No ,2, Turbo Fan ,5092,PTNGM
 N182HG , Helicopter , Cessna , P210N , No ,1, Reciprocating ,3600,PPGQF
 N9664D , Helicopter , Tharp S Richard , Challenger II , Yes ,1, Reciprocating ,115497,N400SA
 N1959P , Helicopter , Canadair , CL-600 , No ,2, Turbo Fan ,2949,PPGAM
 N26XL , Helicopter , Hooker , Zodiac 601XL , Yes ,1, Reciprocating ,2649,PTRHL
 N828MC , Helicopter , Swearingen , SA-226-TC , No ,2, Turbo Prop ,1948,PRJTR
 N319CD , Helicopter , Cessna , 172RG , No ,1, Reciprocating ,4299,PRJFS
 N442ER , Helicopter , Cessna , 182Q ,  ,1, Reciprocating ,4570,PRVPI
 N83785 , Helicopter , Robinson , R44 II , No ,1, Reciprocating ,1851,PRYSJ
 N204WC , Helicopter , Douglas , DC-8 , No ,4, Turbo Fan ,2599,PTWQP
 N41094 , Helicopter , Cirrus Design Corporation , SR22 , No ,1, Reciprocating ,1697,PTKKL
 N861MP , Helicopter , Robinson , R44 , No ,1, Reciprocating ,3600,PRGIF
 N266Q , Helicopter , Harwood Kenneth , Lancair 360A , Yes ,1, Reciprocating ,134997,PRTTJ
 N51732 , Helicopter , Short Brothers , SD-360-300 , No ,2, Turbo Prop ,6999,PPGIV
 N4066X , Helicopter , Short Brothers , SD-360-300 , No ,2, Turbo Prop ,1499,PTJGH
 N317AS , Helicopter , Ralph Sanders , Murphy Acft Elite , Yes ,1, Reciprocating ,13300,PRIME
 N8176B , Helicopter , CESSNA , 208 Caravan , No ,1, Turbo Prop ,9649,PTJKU
 N62078 , Helicopter , SOCATA , TBM 700 , No ,1, Turbo Prop ,2149,PTUSX
 N1567C , Helicopter , Robinson , R44 , No ,1, Reciprocating ,6999,PTUQK
 N165WM , Helicopter , Cessna ,182, No ,1, Reciprocating ,617,PPMCE
 N30AS , Helicopter , Cirrus Design Corp. , SR-22 , No ,1, Reciprocating ,1697,PTEXO
 N1711Q , Helicopter , Cessna , R182 , No ,1, Reciprocating ,2802,PTGSF
 N3029Z , Helicopter , Beech ,200, No ,2, Turbo Prop ,1860,PPXOQ
 N120V , Helicopter , Bell , 206L-1 , No ,1, Turbo Shaft ,4750,PTEEU
 N49005 , Helicopter , WSK-PZL WARZAWAOKECIE , PZL-104 WILGA 80 , No ,1, Reciprocating ,12500,PTMZZ
 N15127 , Helicopter , Bell , 206B III , No ,  ,  ,1388,PTHFO
 N2876J , Helicopter , Cessna , 172P , No ,1, Reciprocating ,4570,PTRBK
 N950AL , Helicopter , Cessna , T210N , No ,1, Reciprocating ,8000,PRRAT
 N8154H , Helicopter , Piper , PA-31-350 , No ,2, Reciprocating ,12500,PPGEO
 N85534 , Helicopter , Beechcraft , F33A , No ,1, Reciprocating ,2500,PTURA
 N20KK , Helicopter , Cessna ,500, No ,2, Turbo Jet ,1294,PRRAF
 CF-JVT , Helicopter , BOEING ,747, No ,  , Turbo Fan ,10848,N2176P
 N39216 , Helicopter , Interstate , S-1A , No ,1, Reciprocating ,2299,PTGFL
 N4055Z , Helicopter , Piper , PA-28-181 , No ,1, Reciprocating ,6300,PTDJA
 N391CA , Helicopter , Cessna , 172N , No ,1, Reciprocating ,1697,PTKQM
 N59051 , Helicopter , Rockwell Commander , 114TC , No ,  ,  ,2649,PTOFT
 N888DV , Helicopter , Cessna , 421B , No ,2, Reciprocating ,4750,PTJAA
 N5065N , Helicopter , Pergerson , Highlander , Yes ,1, Reciprocating ,3999,PPGHG
 N1263Y , Helicopter , Cessna , A185E , No ,1, Reciprocating ,1697,PTLKH
 N7345U , Helicopter , Piper , PA-18-150 , No ,1, Reciprocating ,2649,PRJPR
 N3308S , Helicopter , Cessna , A185F , No ,1, Reciprocating ,9649,PRTTI
 N3331F , Helicopter , Piper , PA-18-150 , No ,1, Reciprocating ,1697,PROAK
 N6832A , Helicopter , Airbus , A319 , No ,  ,  ,1294,PRTRA
 N941SL , Helicopter , Cessna , T210M , No ,1, Reciprocating ,3800,PTOZN
 N909BC , Helicopter , Maule , M-7-260C , No ,1, Reciprocating ,4570,PTUTX
 N555YF , Helicopter , Eurocopter , AS350D , No ,1, Turbo Shaft ,1697,PTFEN
 N686JM , Helicopter , Piper , PA-32R-300 , No ,1, Reciprocating ,1697,PPGLS
 N101HK , Helicopter , Reichel , Lancair 360 , Yes ,1, Reciprocating ,2500,PTUQG
 N22532 , Helicopter , Piper , PA-28-161 , No ,1, Reciprocating ,6300,PREPM
 N296PC , Helicopter , Bellanca , 7ECA , No ,1, Reciprocating ,5299,PTVMQ
 N378DA , Helicopter , Piper , J5 , No ,1, Reciprocating ,4570,PPKDW
 N679MG , Helicopter , EADS Socata , A320 , No ,  ,  ,2500,PTPFO
 N402CA , Helicopter , Boeing , B757 , No ,  ,  ,3600,PTNBH
 N2536W , Helicopter , Robinson , R-44 , No ,  ,  ,1455,PRVOO
 N46475 , Helicopter , Eurocopter France , AS-350-B2 , No ,1, Turbo Shaft ,4750,PROAD
 N1693Q , Helicopter , Globe , GC-1B , No ,1, Reciprocating ,4299,PRVBY
 N6QR , Helicopter , Aero Vodochody , L-39MS , No ,1, Turbo Fan ,1697,PTHRL
 N6000A , Helicopter , Cessna , 172C , No ,1, Reciprocating ,1697,PTAXH
 N7377H , Helicopter , Cessna ,175, No ,1, Reciprocating ,1697,PPGQJ
 N9234V , Helicopter , Beech , A36 , No ,1, Reciprocating ,5000,PPGMA
 N3610Y , Helicopter , Cessna , 421C , No ,2, Reciprocating ,3968,PTWJP
 N564BR , Helicopter , Bell , 206L-4 , No ,1, Turbo Shaft ,4629,PTOID
 N5HU , Helicopter , Cessna ,152, No ,1, Reciprocating ,3800,PTINZ
 N268ST , Helicopter , Cessna , T210N , No ,1, Reciprocating ,3198,PRBPM
 N722W , Helicopter , Piper , PA-32-260 , No ,1, Reciprocating ,2799,PTIEA
 N4252P , Helicopter , Cessna ,560, No ,2, Turbo Fan ,1697,PTVNB
 N978FE , Helicopter , Villarubia , RV-6 , Yes ,1, Reciprocating ,1697,PPPTM
 N2621U , Helicopter , Cessna ,172, No ,1, Reciprocating ,11900,PPFLL
 N39FS , Helicopter , Cirrus Design Corp. , SR22 , No ,1, Reciprocating ,1860,PTRLR
 N244PS , Helicopter , Piper , PA-28-161 , No ,1, Reciprocating ,1697,PTXLS
 N285JB , Helicopter , Starduster , SA-100 , Yes ,1, Reciprocating ,4574,PRFPM
 N53795 , Helicopter , Brantly Helicopter , B-2B , No ,  ,  ,3800,PRNDF
 N9222H , Helicopter , Cessna , 208B , No ,  ,  ,5599,PREFJ
 N144ZV , Helicopter , Cessna , R182 , No ,1, Reciprocating ,2749,PTMVN
 N99173 , Helicopter , Piper , PA-28-140 , No ,1, Reciprocating ,3417,PTWGV
 N300HX , Helicopter , Beech , BE-76 , No ,2, Reciprocating ,3198,PTLXD
 N72901 , Helicopter , Cessna , 305A , No ,1, Reciprocating ,2550,PTVIN
 N152SG , Helicopter , Renquist , Starduster SA300 , Yes ,1, Reciprocating ,3600,PPMCF
 N3588F , Helicopter , Pietenpol , Aircamper , Yes ,1, Reciprocating ,3968,PRMOZ
 N23887 , Helicopter , Piper , PA-46/Jetprop , No ,1, Turbo Prop ,18300,PTMZY
 N2698Z , Helicopter ,  ,  ,  ,  ,  ,1697,PRMES
 N5158N , Helicopter , Beech ,58, No ,  ,  ,1697,PPKFC
 N494S , Helicopter , Cessna , 208B , No ,  ,  ,1697,PPMCI
 N5FN , Helicopter , Boeing , B777-200B , No ,2, Turbo Fan ,4570,PREJK
 N212KR , Helicopter , Agusta , A109E , No ,2, Turbo Shaft ,1697,PTEOV
 N2728B , Helicopter , Croman Corporation , SH-3H , No ,2, Turbo Shaft ,1697,PTNSY
 N221MH , Helicopter , Zilz , Zenith CH801 , Yes ,1, Reciprocating ,1697,PPITZ
 N3428R , Helicopter , Cessna , 310N , No ,2, Reciprocating ,1697,PTODP
 N381SL , Helicopter , Cessna , TU206G , No ,1, Reciprocating ,1697,N8540A
 N5227X , Helicopter , Boeing , MD-82 ,  ,  ,  ,12500,PTVRF
 N7196J , Helicopter , Robinson , R22 , No ,  ,  ,1697,PRLMC
 N58267 , Helicopter , Cessna , 182P , No ,1, Reciprocating ,3968,PTYUT
 N235U , Helicopter , Cessna , 172M , No ,1, Reciprocating ,1157,PRSJE
 N7768G , Helicopter , Boeing , 737-524 , No ,2, Turbo Jet ,1697,PRONE
 N239PT , Helicopter , EADS Socata , TB-20 Trinidad , No ,  ,  ,3198,PTWVG
 N9202U , Helicopter , Beech , D35 , No ,  ,  ,5299,PTJLN
 N8684S , Helicopter , Cessna , S-550 , No ,2, Turbo Jet ,4750,PRINR
 N310SK , Helicopter , Robinson , R22 , No ,  ,  ,8000,PRMYA
 N755SA , Helicopter , Schewizer ,233, No ,0,  ,1697,PRJMM
 N624SW , Helicopter , Cessna , 310Q , No ,2, Reciprocating ,1499,PRDOQ
 N94JA , Helicopter , Cessna ,120, No ,1, Reciprocating ,1697,PTUKS
 N273PS , Helicopter , Piper , PA-32-300 , No ,1, Reciprocating ,3600,PTRKS
 N8875D , Helicopter , Aviat , A1-A , No ,1, Reciprocating ,9649,PTRYC
 N51772 , Helicopter , Quicksilver , MX II Sprint , Yes ,1, Reciprocating ,3600,PTYZZ
 N835RA , Helicopter , Piper , PA-30 , No ,2, Reciprocating ,4750,PRHAZ
 N14715 , Helicopter , Cirrus , SR22 , No ,1, Reciprocating ,6999,PTDZR
 N76UT , Helicopter , Piper , PA-28-181 , No ,1, Reciprocating ,21999,PRETT
 N943D , Helicopter , Bell , 47-B3 , No ,1, Reciprocating ,1697,PRSCO
 N701PR , Helicopter , Cessna ,206, No ,1, Reciprocating ,5399,PRAGB
 N13585 , Helicopter , MBB , BO-105S , No ,2, Turbo Shaft ,1697,PTNBV
 N5083T , Helicopter , Piper , PA-28-161 , No ,1, Reciprocating ,1600,PPAFM
 N4447Z , Helicopter , Aerospatiale , AS350-B2 , No ,1, Turbo Shaft ,15099,PTGUD
 N6085R , Helicopter , Labarre , Hatz CB1 , Yes ,1, Reciprocating ,9649,PTVMY
 N5947D , Helicopter , Huntington , KIS , Yes ,1, Reciprocating ,4750,PREJP
 N6413S , Helicopter , Cessna ,177, No ,1, Reciprocating ,1455,PRMTL
 N175DP , Helicopter , Eurocopter , AS350BA , No ,1, Turbo Shaft ,2200,PTNKJ
 N4994V , Helicopter , Univar , Ercoupe , No ,1, Reciprocating ,3417,PTYDW
 N3635U , Helicopter , de Havilland , DHC-6 , No ,  ,  ,2799,PTJOE
 N84580 , Helicopter , Cessna , 310R , No ,2, Reciprocating ,2899,PRKKR
 N8069J , Helicopter , Bellanca , 7KCAB , No ,1, Reciprocating ,8000,PTWFG
 N5161Y , Helicopter , Cirrus Design Corp. , SR20 , No ,1, Reciprocating ,2649,PTVIF
